18578777,0.18,-0.85,-0.06,-1009.28,-9.52,-24.17
18588795,0.06,-0.85,-0.06,-1010.01,-5.13,-19.78
18598798,0.12,-0.79,-0.06,-1010.01,-9.52,-21.24
18608812,0.06,-0.49,-0.06,-1009.28,-6.59,-20.51
18618831,-0.06,-0.18,-0.06,-1011.47,-6.59,-21.24
18628847,-0.12,0.06,-0.06,-1007.08,-6.59,-23.44
18638861,0.12,0.24,0.06,-1012.21,-10.25,-27.10
18648862,0.18,-0.06,0.06,-1010.74,-7.32,-26.37
18658881,0.06,-0.37,0.00,-1008.54,-9.52,-27.10
18668895,0.06,-0.79,0.00,-1012.21,-8.06,-27.10
18678912,0.06,-1.16,0.00,-1011.47,-10.25,-21.97
18688928,0.06,-1.28,-0.12,-1015.87,-5.13,-21.97

18723752,0.06,-1.95,0.12,-1009.28,-6.59,-22.71
18698927,0.06,-1.46,-0.12,-1009.28,-5.86,-21.97
18708946,0.12,-1.77,0.00,-1010.74,-8.06,-21.97
18733768,0.00,-2.14,-0.06,-1009.28,-8.06,-18.31
18743784,-0.06,-1.77,-0.12,-1011.47,-7.32,-16.85
18753784,-0.06,-1.16,-0.06,-1010.01,-8.79,-13.92
18763799,0.06,-0.49,0.00,-1010.74,-10.25,-18.31
18773818,-0.06,0.06,0.06,-1010.01,-10.25,-19.78
18783832,-0.06,0.49,-0.06,-1010.74,-6.59,-21.97
18793848,0.00,0.79,-0.06,-1007.81,-7.32,-22.71
18803850,0.06,1.16,0.06,-1012.21,-9.52,-18.31
18813868,0.12,1.28,0.06,-1012.94,-7.32,-24.90
18823885,0.00,1.16,-0.06,-1012.94,-10.99,-27.83
18833903,0.06,0.73,-0.12,-1008.54,-8.79,-24.90
18843920,0.18,0.12,-0.06,-1010.74,-10.99,-22.71
18853916,0.18,-0.55,0.00,-1007.81,-7.32,-26.37
18863935,0.24,-1.10,0.00,-1011.47,-8.06,-23.44
18873952,0.06,-1.28,0.00,-1010.74,-10.25,-19.78
18883970,-0.12,-0.92,0.00,-1009.28,-6.59,-14.65
18893990,-0.06,-0.43,0.00,-1011.47,-10.25,-17.58
